,0
CVKMD,8acae2c586d22c510187381ba299429a
CWENE,8acae2c56faf888c016fd6c2036e0a5d
DAPGM,8acae2c47d3bee4e017ea0492b6a0595
DENCM,4028e4a240ee866c0140f1fbcdf4005e
DEVA,4028e4a140f2ed710141116ab1d60241
DFKTR,4028e4a141462dfe01414b0e029d286f
DGHOL,4028e4a14158e41e01415a9e68835f1c
DOAS,4028e4a240e8d16e0140e951bf04007b
DSTKF,4028e4a1415f4d9b01415fe0caa830df
EBEBK,8acae2c586d22c51018a2b6c8f5963cd
EEDAS,4028e4a1422d98690142bcea6f4157ca
EGEEN,1DE05DAA8254073AE0530A4A622A2EBD
EGGUB,4028e4a2422d9a78014304d729e3673d
EKM,8acae2c453465f520154051f41e2111e
ENERY,4028e4a241733d4201417937d4337e22
ENJSA,4028e4a1422d98690142bceaa31957cf
ENKAI,4028e4a240e95dc90140ed3883fe0093
EPY,4028e4a140f2ed7201412c25bd4c0807
EREGL,4028e4a240e95dc90140ede4c12a0133
ESCAR,8acae2c4782a4d560178f8929f486aed
ESEN,8acae2c57436079f0174486159f4072f
FENER,4028e4a240e95dc90140ede7351a013d
FIBAF,4028e4a14158e41e01415aa8f0b060f1
"FIN, QNBTR",4028e4a240e95dc90140ee076f400178
FNCLL,8acae2c5508ff281015180b536cc1587
FROTO,4028e4a140f2ed71014106890fae0138
FZLGY,8acae2c586d22c530189534dc2624568
"GARAN, TGB",4028e4a140f2ed720140f37cb2a601b7
GENIL,8acae2c5794d3d6a017a89f2678a1118
GESAN,8acae2c4794d364a017af66863e41bae
GIPTA,8acae2c486d22a3a018a5106156c5c3d
GLCVY,8acae2c465a51c3801683c2840c516cb
GOKNR,4028e4a1462cc5dd0146673d70055928
GOLTS,4028e4a140e95be70140ee27ccd40129
GRSEL,8acae2c47d3bee50017f2c2fc65150e6
GSRAY,4028e4a14203278a0142095598f114ba
GWIND,8acae2c46d7599a6016dee0b5aec36b2
"HALKB, THL",1DE05DAA82C3073AE0530A4A622A2EBD
HALKS,4028e4a140f2ed7201410c9b490302cb
HEKTS,4028e4a140ee35c00140ee5d194a0055
HLVKS,8acae2c45fc5ff9c016002b79772115e
HTTBT,8acae2c57d3bf002017e016f30e442c6
IPEKE,4028e4a2422d9a6e0142bd9255a37a70
ISDMR,4028e4a2416e696c01416ee8eb7b3770
ISFIN,4028e4a140f2ed7101410d272d690188
KAREL,4028e4a246b4c5a90147d42c754a6bba
KARSN,4028e4a140f275530140f2e357a501f7
KATMR,4028e4a14184e9cf01419c001e945a74
KCAER,4028e4a2416f888d01416f9ea04a058f
KERVN,4028e4a1415f4d9901416004afc13142
KLGYO,4028e4a2415f4f8101415f7009a809a2
KLKIM,4028e4a144a0804f01452d35e88a3208
KLSER,4028e4a140f275550140f285f6cf0246
KMPUR,8acae2c47d3bee4e017da32a238f235f
KONYA,4028e4a140f2ed720140f3014c9400cf
KOPOL,8acae2c486d22a3b01873668ecf84494
KORDS,4028e4a140f2ed720140f30606a700ec
KOTON,4028e4a2422d9a7801429a4cc3d64f41
